pincode,city,koo,sta,state,ko,ui,cou,lt,lon,ui
57837,"Bamboo Flat",4023,AN,"Andaman and Nicobar Islands",101,IN,India,11.70000000,92.71667000,Q627037
133213,Nicobar,4023,AN,"Andaman and Nicobar Islands",101,IN,India,7.03002000,93.79028000,Q797295
133482,"Port Blair",4023,AN,"Andaman and Nicobar Islands",101,IN,India,11.66613000,92.74635000,Q203476
134006,"South Andaman",4023,AN,"Andaman and Nicobar Islands",101,IN,India,10.75776000,92.52136000,Q796979
57593,Addanki,4017,AP,"Andhra Pradesh",101,IN,India,15.81061000,79.97338000,Q2350169
134452,Adoni,4017,AP,"Andhra Pradesh",101,IN,India,15.62788000,77.27495000,Q490906
57620,Akasahebpet,4017,AP,"Andhra Pradesh",101,IN,India,17.50455000,82.56597000,Q582949
57623,Akividu,4017,AP,"Andhra Pradesh",101,IN,India,16.58225000,81.38112000,Q416835
57624,Akkarampalle,4017,AP,"Andhra Pradesh",101,IN,India,13.65000000,79.42000000,Q585782
57658,Amalapuram,4017,AP,"Andhra Pradesh",101,IN,India,16.57868000,82.00609000,Q588625
57690,Amudalavalasa,4017,AP,"Andhra Pradesh",101,IN,India,18.41025000,83.90295000,Q582993
57693,Anakapalle,4017,AP,"Andhra Pradesh",101,IN,India,17.69134000,83.00395000,Q589133
57698,Anantapur,4017,AP,"Andhra Pradesh",101,IN,India,14.55000000,77.41667000,Q15212
57758,Atmakur,4017,AP,"Andhra Pradesh",101,IN,India,15.88109000,78.58704000,Q583995
57761,Attili,4017,AP,"Andhra Pradesh",101,IN,India,16.70000000,81.60000000,Q4818468
57771,Avanigadda,4017,AP,"Andhra Pradesh",101,IN,India,16.02148000,80.91808000,Q3430115
57794,Badvel,4017,AP,"Andhra Pradesh",101,IN,India,14.74510000,79.06288000,Q3412838
57849,Banganapalle,4017,AP,"Andhra Pradesh",101,IN,India,15.31771000,78.22669000,Q1553292
58137,Bapatla,4017,AP,"Andhra Pradesh",101,IN,India,15.90422000,80.46743000,Q633274
57939,Betamcherla,4017,AP,"Andhra Pradesh",101,IN,India,15.45144000,78.14797000,Q2442016
57971,Bhattiprolu,4017,AP,"Andhra Pradesh",101,IN,India,16.10260000,80.78074000,Q3429099
58021,Bhimavaram,4017,AP,"Andhra Pradesh",101,IN,India,16.54078000,81.52322000,Q757853
58022,Bhimunipatnam,4017,AP,"Andhra Pradesh",101,IN,India,17.89017000,83.45203000,Q2483868
58070,Bobbili,4017,AP,"Andhra Pradesh",101,IN,India,18.57366000,83.35925000,Q861841
58179,Challapalle,4017,AP,"Andhra Pradesh",101,IN,India,16.11756000,80.93139000,Q2340109
131514,Chemmumiahpet,4017,AP,"Andhra Pradesh",101,IN,India,15.89794000,79.32129000,Q886385
131556,Chilakalurupet,4017,AP,"Andhra Pradesh",101,IN,India,16.08987000,80.16705000,Q1105252
131563,Chinnachowk,4017,AP,"Andhra Pradesh",101,IN,India,14.47516000,78.83540000,Q721289
131611,Chipurupalle,4017,AP,"Andhra Pradesh",101,IN,India,18.31142000,83.56846000,Q532883
131612,Chirala,4017,AP,"Andhra Pradesh",101,IN,India,15.82385000,80.35219000,Q1193800
131575,Chittoor,4017,AP,"Andhra Pradesh",101,IN,India,13.41667000,79.00000000,Q15213
131577,Chodavaram,4017,AP,"Andhra Pradesh",101,IN,India,17.82884000,82.93526000,Q5103763
131627,Cuddapah,4017,AP,"Andhra Pradesh",101,IN,India,14.41667000,78.75000000,Q15342
131628,Cumbum,4017,AP,"Andhra Pradesh",101,IN,India,15.58171000,79.11059000,Q15342
131658,Darsi,4017,AP,"Andhra Pradesh",101,IN,India,15.76978000,79.67939000,Q3298990
131727,Dharmavaram,4017,AP,"Andhra Pradesh",101,IN,India,14.41435000,77.72035000,Q1948238
131740,Dhone,4017,AP,"Andhra Pradesh",101,IN,India,15.39520000,77.87150000,Q1263568
131769,Diguvametta,4017,AP,"Andhra Pradesh",101,IN,India,15.39507000,78.82930000,Q5276378
131823,"East Godavari",4017,AP,"Andhra Pradesh",101,IN,India,17.83333000,81.83333000,Q15338
131830,Elamanchili,4017,AP,"Andhra Pradesh",101,IN,India,17.54907000,82.85749000,Q3415001
131832,Ellore,4017,AP,"Andhra Pradesh",101,IN,India,16.71311000,81.10437000,Q1003496
131836,Emmiganur,4017,AP,"Andhra Pradesh",101,IN,India,15.77203000,77.48345000,Q2734064
131842,Erraguntla,4017,AP,"Andhra Pradesh",101,IN,India,14.63853000,78.53974000,Q720903
131846,Etikoppaka,4017,AP,"Andhra Pradesh",101,IN,India,17.50000000,82.73333000,Q1773429
131895,Gajuwaka,4017,AP,"Andhra Pradesh",101,IN,India,17.70000000,83.21667000,Q1524653
131906,Ganguvada,4017,AP,"Andhra Pradesh",101,IN,India,18.66667000,84.11667000,Q186141
131915,Gannavaram,4017,AP,"Andhra Pradesh",101,IN,India,16.54092000,80.80213000,Q5521417
131955,Giddalur,4017,AP,"Andhra Pradesh",101,IN,India,15.37439000,78.92609000,Q207098
131972,Gokavaram,4017,AP,"Andhra Pradesh",101,IN,India,17.25823000,81.84985000,Q5578050
131993,Gorantla,4017,AP,"Andhra Pradesh",101,IN,India,13.98411000,77.77224000,Q3415057
132001,"Govindapuram,Chilakaluripet,Guntur",4017,AP,"Andhra Pradesh",101,IN,India,16.15477000,80.10279000,Q1707255
132010,Gudivada,4017,AP,"Andhra Pradesh",101,IN,India,16.43547000,80.99555000,Q2350125
132012,Gudlavalleru,4017,AP,"Andhra Pradesh",101,IN,India,16.35000000,81.05000000,Q1707438
132051,Gudur,4017,AP,"Andhra Pradesh",101,IN,India,14.15093000,79.85210000,Q1708134
132027,"Guntakal Junction",4017,AP,"Andhra Pradesh",101,IN,India,15.17112000,77.36244000,Q586397
132028,Guntur,4017,AP,"Andhra Pradesh",101,IN,India,16.29974000,80.45729000,Q3120966
132099,Hindupur,4017,AP,"Andhra Pradesh",101,IN,India,13.82807000,77.49143000,Q760056
132151,Ichchapuram,4017,AP,"Andhra Pradesh",101,IN,India,19.11393000,84.68721000,Q952228
132189,Jaggayyapeta,4017,AP,"Andhra Pradesh",101,IN,India,16.89380000,80.09807000,Q5475354
132228,Jammalamadugu,4017,AP,"Andhra Pradesh",101,IN,India,14.84677000,78.38314000,Q2010440
132328,Kadiri,4017,AP,"Andhra Pradesh",101,IN,India,14.11168000,78.15982000,Q2351757
132332,Kaikalur,4017,AP,"Andhra Pradesh",101,IN,India,16.55154000,81.21400000,Q2290801
132678,Kakinada,4017,AP,"Andhra Pradesh",101,IN,India,16.96036000,82.23809000,Q59018
132358,Kalyandurg,4017,AP,"Andhra Pradesh",101,IN,India,14.54519000,77.10552000,Q2738467
